docid	author	authordate	inferreddate	latestcomp	datetype	startdate	enddate	imprintdate	genres	subjects	locnum	oclc	recordid	instances	allcopiesofwork	copiesin25yrs	enumcron	volnum	title	parttitle	earlyedition	shorttitle
mdp.39015063992682	Bush, Christopher	1885-1973.	1930.0	1930.0	s	1930	    	1930			PZ3.B9625Dd 2	2496399.0	282684	1	1.0	1.0			Dead man twice ...		True	Dead man twice
mdp.39015063542685	Austin, Anne	1895-	1930.0	1930.0	s	1930	    	1930				1507592.0	283410	1	1.0	1.0			The black pigeon, | $c: by Anne Austin.		True	The black pigeon
mdp.39015063525169	Baerlein, Henry	1875-1960.	1930.0	1930.0	s	1930	    	1930			PZ3.B1453Dr	1657780.0	283747	1	1.0	1.0			Dreamy rivers, | $c: by Henry Baerlein.		True	Dreamy rivers
mdp.39015063513660	[Buchan, Anna]		1930.0	1930.0	s	1930	    	1930			PZ3.B8507Day	9239356.0	284840	1	1.0	1.0			The day of small things ...		True	The day of small things
mdp.39015035410615	Dalton, Moray		1930.0	1930.0	s	1930	    	1930			PZ3.D1735Bo	1709461.0	286123	1	1.0	1.0			The body in the road, | $c: by Moray Dalton.		True	The body in the road
mdp.39015063511722	Berkeley, Anthony	1893-1971.	1930.0	1930.0	s	1930	    	1930				66267646.0	286369	1	1.0	1.0			The Layton court murder ...		True	The Layton court murder
mdp.39015005787208	Berkeley, Anthony	1893-1971.	1930.0	1930.0	s	1930	    	1930				1723999.0	286468	1	1.0	1.0			The Piccadilly murder ...		True	The Piccadilly murder
mdp.39015063547296	Crofts, Freeman Wills	1879-1957.	1930.0	1930.0	s	1930	    	1930			PZ3.C8747Si	1709864.0	286640	1	1.0	1.0			Sir John Magill's last journey; | an Inspector French case, | $c: by Freeman Wills Crofts.		True	Sir John Magill's last journey; an Inspector French case
mdp.39015063937018	Oppenheim, E. Phillips (Edward Phillips)	1866-1946.	1930.0	1930.0	s	1930	    	1930				7202604.0	322000	1	3.0	3.0			The million pound deposit ...		True	The million pound deposit
mdp.39015063944956	Norris, Kathleen Thompson	1880-1966.	1930.0	1930.0	s	1930	    	1930			PZ3.N794Mag	1562312.0	322590	1	1.0	1.0			Margaret Yorke, | $c: by Kathleen Norris.		True	Margaret Yorke
